hora,Baja,Media,Alta
0,0.2788667640969431,0.4304046821980825,0.6441220238095238
1,0.2824399456752398,0.4296516106442577,0.648241341991342
2,0.27594871281846073,0.43107384426638873,0.6503720238095239
3,0.2748755057578587,0.43416494950470613,0.643452380952381
4,0.2727203136156423,0.4363920189287836,0.641889880952381
5,0.2727203136156423,0.4363920189287836,0.641889880952381
6,0.2610280778978258,0.4362773948530723,0.6467549923195084
7,0.25808855073560955,0.4327891573295985,0.6332010582010582
8,0.26156060714884244,0.4473412410231582,0.6536848072562359
9,0.27035864784510294,0.44100461440614896,0.6529166666666667
10,0.27415997100594625,0.43643162393162394,0.6330236159504452
11,0.265697174186479,0.4392070161397893,0.6500610500610501
12,0.2695947128851541,0.4361898672512483,0.6440580618212197
13,0.2786630658864206,0.4430034834446599,0.6564439033189033
14,0.27104235633647394,0.43878729752770673,0.6526309523809524
15,0.2749668813394303,0.4297918312624195,0.6543569808875931
16,0.274282791997206,0.4353961584633853,0.6651960784313725
17,0.25884291888798533,0.42523893205080776,0.6503887269193392
18,0.25527967907593146,0.43716109085143495,0.6445634920634921
20,0.26626382876382876,0.4385598030061698,0.6579278812974465
21,0.2695097715011931,0.43982320200807595,0.658032293377121
22,0.26954432413991236,0.44449388369580045,0.6418008870214753
23,0.2854933297519921,0.4309068627450981,0.6522849462365591
